ID_MATRICULA;DT_NASCIMENTO;ESTADO_CIVIL;SEXO;DEFICIENCIA;COR_ETNIA;CIDADE_ORIGEM;CODIGO_CURSO;VERSAO_CURSO;DT_INGRESSO;FORMA_INGRESSO;MODALIDADE_INGRESSO;ANO_INGRESSO;PERIODO_INGRESSO;FORMA_EVASAO;DATA_EVASAO;DT_CONCLUSAO
597;27/04/1987;Casado(a);M;Não possui deficiência;Branca;Goiânia;1452BI;2010-2;10/09/2007;Processo Seletivo: Vestibular;Não se aplica;2007;2° Semestre;Desistente Oficial;04/02/2013;
598;11/06/1989;Solteiro(a);M;Não possui deficiência;Não declarada;Goiânia;1452BI;1097A;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Desistente Oficial;08/02/2010;
599;26/03/1987;Solteiro(a);M;Não possui deficiência;Não declarada;Goiânia;115728BN;2009-1;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Jubilamento;22/10/2019;
600;07/03/1992;Solteiro(a);M;Não possui deficiência;Não declarada;Goiânia;115728BN;2009-1;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Desistente Oficial;24/06/2011;
601;21/06/1989;Casado(a);M;Não possui deficiência;Parda;Goiânia;1452BI;1097A;21/02/2011;Processo Seletivo: Transferência;Não se aplica;2011;1° Semestre;Desistente Oficial;10/05/2013;
602;22/12/1984;Solteiro(a);M;Não possui deficiência;Não declarada;Goiânia;1452BI;2010-2;21/02/2011;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2011;1° Semestre;Abandono;05/02/2014;
603;29/09/1993;Solteiro(a);F;Não possui deficiência;Não declarada;Goiânia;1452BI;2012-1;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;2° Semestre;Formado;11/08/2017;11/08/2017
604;27/04/1987;Casado(a);M;Não possui deficiência;Branca;Goiânia;115728BN;2016-1;20/05/2013;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2013;1° Semestre;Abandono;;
605;21/06/1989;Casado(a);M;Não possui deficiência;Parda;Goiânia;1452BI;2012-1;20/05/2013;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2013;1° Semestre;Abandono;;
606;29/05/1995;Solteiro(a);M;;Não declarada;Goiânia;1452BI;2012-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2013;2° Semestre;Desistente Oficial;22/02/2016;
607;19/05/1984;Solteiro(a);F;Não possui deficiência;Parda;Goiânia;1452BI;2012-1;14/04/2014;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2014;1° Semestre;Abandono;29/11/2021;
608;03/07/1997;Solteiro(a);F;Não possui deficiência;Parda;Goiânia;1452BI;2012-1;17/03/2015;Processo Seletivo: SISU;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2015;1° Semestre;Formado;20/12/2019;20/12/2019
609;10/11/1998;Solteiro(a);M;Não possui deficiência;Branca;Goiânia;1452BI;2012-1;22/02/2016;Processo Seletivo: SISU;Modalidade 4 - Escola Pública/independente de renda;2016;1° Semestre;Aluno com Vínculo;;
610;27/11/1998;Solteiro(a);M;Não possui deficiência;Branca;Goiânia;1452BI;2012-1;19/07/2016;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2016;2° Semestre;Transferido;05/04/2018;
611;29/05/1998;Solteiro(a);M;;Parda;Goiânia;115728BN;2016-1;19/07/2016;Processo Seletivo: Vestibular;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2016;2° Semestre;Aluno com Vínculo;;
612;13/11/1986;Casado(a);M;Não possui deficiência;Branca;Goiânia;115728BN;2016-1;19/07/2016;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2016;2° Semestre;Aluno com Vínculo;;
613;30/09/1995;Solteiro(a);M;Não possui deficiência;Parda;Goiânia;1452BI;2012-1;27/03/2017;Processo Seletivo: SISU;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2017;1° Semestre;Desistente Oficial;;
614;28/11/1995;Solteiro(a);M;Não possui deficiência;Branca;Goiânia;1452BI;2012-1;04/05/2017;Processo Seletivo: Transferência Facultativa;Não se aplica;2017;1° Semestre;Aluno com Vínculo;;
615;18/03/1999;Solteiro(a);M;Não possui deficiência;Não declarada;Goiânia;1137717BI;2016-1;05/03/2018;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2018;1° Semestre;Aluno com Vínculo;;
616;30/06/1990;Casado(a);M;Não possui deficiência;Branca;Goiânia;115728BN;2016-1;01/03/2019;Processo Seletivo: Transferência Facultativa;Não se aplica;2019;1° Semestre;Desistente Oficial;16/03/2022;
617;25/04/2001;Solteiro(a);M;Não possui deficiência;Branca;Governador Valadares;115728BN;2016-1;01/03/2019;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2019;1° Semestre;Aluno com Vínculo;;
618;16/04/1998;Solteiro(a);M;Não possui deficiência;Branca;Governador Valadares;1452BI;2012-1;05/03/2018;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2018;1° Semestre;Desistente Oficial;29/06/2022;
619;18/09/1991;Solteiro(a);F;;Branca;Grajaú;115728BN;2016-1;01/03/2019;Processo Seletivo: Transferência Facultativa;Não se aplica;2019;1° Semestre;Aluno com Vínculo;;
620;10/07/1995;Solteiro(a);M;Não possui deficiência;Branca;Guará;1452BI;2012-1;21/10/2013;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2013;2° Semestre;Formado;22/12/2017;22/12/2017
621;20/03/1992;Solteiro(a);M;Não possui deficiência;Não declarada;Guarda-Mor;115728BN;2009-1;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Formado;04/08/2016;04/08/2016
622;27/09/2001;Solteiro(a);M;Não possui deficiência;Branca;Guarujá;1137717BI;2016-1;07/03/2019;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2019;1° Semestre;Desistente Oficial;14/12/2019;
623;20/11/2000;Solteiro(a);M;Não possui deficiência;Branca;Guarulhos;115728BN;2016-1;01/03/2019;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2019;1° Semestre;Aluno com Vínculo;;
624;02/02/1992;Solteiro(a);M;;Parda;Guarulhos;1452BI;2010-2;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Desistente Oficial;30/09/2013;
625;02/02/1992;Solteiro(a);M;;Parda;Guarulhos;1452BI;2012-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2013;2° Semestre;Desistente Oficial;26/01/2016;
626;26/08/1995;Solteiro(a);M;Não possui deficiência;Branca;Guarulhos;115728BN;2016-1;07/08/2015;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2015;2° Semestre;Aluno com Vínculo;;
627;02/02/1992;Solteiro(a);M;;Parda;Guarulhos;115728BN;2016-1;27/03/2017;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2017;1° Semestre;Aluno com Vínculo;;
628;20/09/1997;Solteiro(a);M;Não possui deficiência;Branca;Guimarânia;115728BN;2016-1;04/05/2017;Processo Seletivo: Transferência Facultativa;Não se aplica;2017;1° Semestre;Aluno com Vínculo;;
629;17/04/1993;Solteiro(a);M;Deficiência Visual (baixa visão);Parda;Guimarânia;1137717BI;2016-1;20/05/2013;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2013;1° Semestre;Formado;14/07/2018;14/07/2018
630;15/06/1994;Solteiro(a);M;Não possui deficiência;Branca;Guimarânia;115728BN;2016-1;07/08/2015;Processo Seletivo: Transferência;Não se aplica;2015;2° Semestre;Aluno com Vínculo;;
631;06/02/1997;Solteiro(a);M;;Branca;Guimarânia;1452BI;2012-1;22/02/2016;Processo Seletivo: SISU;Modalidade 2 - Escola Pública/até 1,5 Salário Mínimo;2016;1° Semestre;Aluno com Vínculo;;
632;31/10/1992;Solteiro(a);M;Não possui deficiência;Branca;Gurinhatã;1452BI;2012-1;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Abandono;;
633;14/12/1994;Solteiro(a);M;Não possui deficiência;Amarela;Guaíra;115728BN;2016-1;21/10/2013;Processo Seletivo: Vestibular;Modalidade 4 - Escola Pública/independente de renda;2013;2° Semestre;Abandono;15/02/2019;
634;28/05/1991;Solteiro(a);M;Não possui deficiência;Branca;Guaíra;115728BN;2016-1;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;2° Semestre;Abandono;;
635;07/03/1996;Solteiro(a);M;Não possui deficiência;Preta/Negra;Guaíra;1452BI;2012-1;14/04/2014;Processo Seletivo: SISU;Modalidade 3 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2014;1° Semestre;Aluno com Vínculo;;
636;03/03/1987;Solteiro(a);M;Não possui deficiência;Não declarada;Guaíra;1452BI;1097A;10/08/2005;Processo Seletivo: Vestibular;Não se aplica;2005;2° Semestre;Formado;11/07/2009;11/07/2009
637;10/03/1992;Estado Civil;M;Não possui deficiência;Não declarada;Guaíra;1452BI;1097A;01/03/2010;Processo Seletivo: Vestibular;Não se aplica;2010;1° Semestre;Formado;23/06/2015;23/06/2015
638;18/12/1992;Solteiro(a);M;Não possui deficiência;Branca;Guaíra;1452BI;2010-2;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;2° Semestre;Jubilamento;28/02/2015;
639;25/03/2000;Casado(a);M;;Parda;IATI;115728BN;2016-1;01/03/2019;Processo Seletivo: SISU;Modalidade L6 - Escola Pública/Pretos/Pardos/Indígenas/independente de renda;2019;1° Semestre;Aluno com Vínculo;;
640;03/07/2001;Estado Civil;F;Deficiência Auditiva (parcial);Branca;Ibiá;115728BN;2016-1;01/03/2019;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2019;1° Semestre;Aluno com Vínculo;;
641;08/07/1984;Solteiro(a);M;Não possui deficiência;Branca;Ibiá;1452BI;1097A;24/03/2008;Processo Seletivo: Vestibular;Não se aplica;2008;1° Semestre;Formado;03/02/2012;03/02/2012
642;23/11/1983;Solteiro(a);M;Não possui deficiência;Branca;Ibiá;1452BI;1097A;14/03/2005;Processo Seletivo: Vestibular;Não se aplica;2005;1° Semestre;Desistente Oficial;27/07/2010;
643;02/12/1974;Casado(a);M;Não possui deficiência;Não declarada;Ibiá;115728BN;2009-1;02/03/2009;Processo Seletivo: Vestibular;Não se aplica;2009;1° Semestre;Formado;19/04/2013;19/04/2013
644;19/01/1990;Solteiro(a);M;Não possui deficiência;Não declarada;Ibiá;1452BI;1097A;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Formado;30/09/2013;30/09/2013
645;02/03/1991;Solteiro(a);M;Não possui deficiência;Não declarada;Ibiá;1452BI;2010-2;02/03/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Desistente Oficial;09/02/2011;
646;23/11/1983;Solteiro(a);M;Não possui deficiência;Branca;Ibiá;115728BN;2009-1;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Abandono;;
647;24/03/1997;Solteiro(a);M;;Branca;Ibitinga;115728BN;2016-1;22/03/2018;Processo Seletivo: Transferência Facultativa;Não se aplica;2018;1° Semestre;Aluno com Vínculo;;
648;22/07/1993;Solteiro(a);M;Não possui deficiência;Branca;Igarapava;1452BI;2012-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2013;2° Semestre;Formado;11/01/2018;11/01/2018
649;19/05/1987;Solteiro(a);F;Não possui deficiência;Não declarada;Igarapava;1452BI;1097A;10/08/2005;Processo Seletivo: Vestibular;Não se aplica;2005;2° Semestre;Formado;22/09/2010;22/09/2010
650;11/01/1985;Solteiro(a);M;Não possui deficiência;Parda;Igarapava;115728BN;2009-1;02/03/2009;Processo Seletivo: Vestibular;Não se aplica;2009;1° Semestre;Jubilamento;06/03/2014;
651;11/04/1991;Solteiro(a);M;Não possui deficiência;Não declarada;Ilha Solteira;1452BI;1097A;21/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Formado;17/03/2014;17/03/2014
652;24/01/1991;Solteiro(a);M;Não possui deficiência;Não declarada;Indianópolis;115728BN;2009-1;21/02/2011;Processo Seletivo: Vestibular;Não se aplica;2011;1° Semestre;Desistente Oficial;22/07/2013;
653;26/09/1987;Solteiro(a);M;Não possui deficiência;Branca;Ipameri;115728BN;2016-1;07/08/2019;Processo Seletivo: Vestibular;Modalidade A0 - Ampla Concorrência;2019;2° Semestre;Aluno com Vínculo;;
654;21/11/1973;Solteiro(a);M;Não possui deficiência;Branca;Ipameri;1452BI;1097A;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Formado;25/10/2013;25/10/2013
655;08/07/1990;Solteiro(a);M;Não possui deficiência;Parda;Ipameri;115728BN;2016-1;26/11/2012;Processo Seletivo: Vestibular;Não se aplica;2012;2° Semestre;Abandono;;
656;31/05/1999;Solteiro(a);M;Não possui deficiência;Branca;Ipatinga;1452BI;2012-1;22/08/2018;Processo Seletivo: Vestibular;Modalidade A0 - Ampla Concorrência;2018;2° Semestre;Aluno com Vínculo;;
657;04/07/1990;Solteiro(a);F;Não possui deficiência;Não declarada;Ipatinga;115728BN;2009-1;02/03/2009;Processo Seletivo: Vestibular;Não se aplica;2009;1° Semestre;Formado;15/03/2014;15/03/2014
658;15/03/1985;Solteiro(a);M;Não possui deficiência;Não declarada;Ipatinga;115728BN;2009-1;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Jubilamento;26/03/2014;
659;21/12/1994;Solteiro(a);M;;Branca;Ipatinga;115728BN;2016-1;19/09/2014;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2014;2° Semestre;Transferência Interna;;
660;04/12/1993;Solteiro(a);M;Não possui deficiência;Parda;Ipiaçu;115728BN;2016-1;17/08/2017;Processo Seletivo: Vestibular;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2017;2° Semestre;Aluno com Vínculo;;
661;26/12/1979;Casado(a);M;Não possui deficiência;Não declarada;Ipiaçu;1452BI;2010-2;21/02/2011;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2011;1° Semestre;Abandono;05/02/2014;
662;19/05/1990;Solteiro(a);M;Não possui deficiência;Parda;Iporá;115728BN;2016-1;24/03/2015;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2015;1° Semestre;Abandono;;
663;06/01/2000;Solteiro(a);M;Não possui deficiência;Branca;Iraí de Minas;1452BI;2012-1;09/04/2019;Processo Seletivo: SISU;Modalidade L1 - Escola Pública/até 1,5 Salário Mínimo;2019;1° Semestre;Aluno com Vínculo;;
664;08/01/1992;Solteiro(a);M;Não possui deficiência;Branca;Iraí de Minas;1452BI;2012-1;01/03/2010;Processo Seletivo: Vestibular;Não se aplica;2010;1° Semestre;Desistente Oficial;04/07/2016;
665;11/12/1988;Solteiro(a);M;Não possui deficiência;Não declarada;Iraí de Minas;1452BI;1097A;09/04/2007;Processo Seletivo: PAIES;Não se aplica;2007;2° Semestre;Formado;29/09/2011;29/09/2011
666;16/12/1990;Solteiro(a);M;Não possui deficiência;Branca;Iraí de Minas;1137717BI;2011-1;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;2° Semestre;Formado;19/05/2016;19/12/2015
667;08/01/1992;Solteiro(a);M;Não possui deficiência;Branca;Iraí de Minas;115728BN;2016-1;19/07/2016;Processo Seletivo: Vestibular;Modalidade 4 - Escola Pública/independente de renda;2016;2° Semestre;Formado;18/12/2018;18/12/2018
668;10/07/1997;Solteiro(a);M;Não possui deficiência;Branca;Iraí de Minas;115728BN;2016-1;11/08/2017;Processo Seletivo: Vestibular;Modalidade 4 - Escola Pública/independente de renda;2017;2° Semestre;Aluno com Vínculo;;
669;08/11/1995;Solteiro(a);F;Não possui deficiência;Parda;Irecê;115728BN;2016-1;14/04/2014;Processo Seletivo: PAAES;Não se aplica;2014;1° Semestre;Aluno com Vínculo;;
670;26/02/2000;Solteiro(a);M;;Preta/Negra;Itabirito;1452BI;2012-1;10/04/2019;Processo Seletivo: SISU;Modalidade L2 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2019;1° Semestre;Aluno com Vínculo;;
671;18/12/1987;Solteiro(a);M;Não possui deficiência;Não declarada;Itajubá;1452BI;1097A;23/05/2006;Processo Seletivo: Vestibular;Não se aplica;2006;1° Semestre;Formado;15/01/2010;15/01/2010
672;26/09/1999;Solteiro(a);M;Não possui deficiência;Branca;Itamogi;1452BI;2012-1;01/03/2019;Processo Seletivo: SISU;Modalidade A0 - Ampla Concorrência;2019;1° Semestre;Aluno com Vínculo;;
673;14/11/1974;Divorciado(a);M;Não possui deficiência;Parda;Itapagipe;1452BI;2012-1;19/02/2016;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2016;1° Semestre;Aluno com Vínculo;;
674;14/11/1974;Divorciado(a);M;Não possui deficiência;Parda;Itapagipe;1452BI;2012-1;16/09/2014;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2014;2° Semestre;Desistente Oficial;17/02/2016;
675;13/08/2000;Solteiro(a);F;Não possui deficiência;Branca;Itaú de Minas;115728BN;2016-1;08/08/2018;Processo Seletivo: Vestibular;Modalidade A0 - Ampla Concorrência;2018;2° Semestre;Aluno com Vínculo;;
676;23/08/1987;Solteiro(a);M;Não possui deficiência;Não declarada;Itaúna;115728BN;2009-1;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Formado;17/06/2016;17/06/2016
677;10/09/2001;Solteiro(a);M;Não possui deficiência;Preta/Negra;Ituiutaba;115728BN;2016-1;09/08/2019;Processo Seletivo: Vestibular;Modalidade L2 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2019;2° Semestre;Aluno com Vínculo;;
678;06/10/1988;Solteiro(a);M;Não possui deficiência;Não declarada;Ituiutaba;1452BI;1097A;10/09/2007;Processo Seletivo: Vestibular;Não se aplica;2007;2° Semestre;Formado;02/10/2013;02/10/2013
679;02/04/1990;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1452BI;1097A;11/08/2008;Processo Seletivo: Vestibular;Não se aplica;2008;2° Semestre;Formado;15/02/2014;15/03/2014
680;17/11/1987;Solteiro(a);M;Não possui deficiência;Não declarada;Ituiutaba;1452BI;1097A;22/05/2006;Processo Seletivo: PAIES;Não se aplica;2006;1° Semestre;Formado;04/02/2010;04/02/2010
681;23/12/1988;Solteiro(a);M;Não possui deficiência;Não declarada;Ituiutaba;1452BI;1097A;02/02/2007;Processo Seletivo: Reingresso;Não se aplica;2007;1° Semestre;Abandono;13/02/2015;
682;10/06/1988;Solteiro(a);M;Não possui deficiência;Não declarada;Ituiutaba;1452BI;1097A;17/10/2006;Processo Seletivo: Vestibular;Não se aplica;2006;2° Semestre;Formado;17/03/2011;17/03/2011
683;17/06/1983;Solteiro(a);M;Não possui deficiência;Não declarada;Ituiutaba;1452BI;1097A;01/08/2001;Processo Seletivo: Vestibular;Não se aplica;2001;2° Semestre;Jubilamento;21/07/2009;
684;08/05/1991;Solteiro(a);F;Não possui deficiência;Não declarada;Ituiutaba;1452BI;2010-2;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Desistente Oficial;06/02/2013;
685;03/12/1990;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1452BI;1097A;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Formado;18/09/2014;18/09/2014
686;09/04/1992;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Desistente Oficial;11/11/2013;
687;28/11/1977;Casado(a);F;Não possui deficiência;Parda;Ituiutaba;115728BN;2009-1;02/03/2009;Processo Seletivo: Vestibular;Não se aplica;2009;1° Semestre;Desistente Oficial;;
688;14/09/1991;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;02/03/2009;Processo Seletivo: PAIES;Não se aplica;2009;1° Semestre;Transferência Interna;16/11/2012;
689;16/08/1991;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1452BI;1097A;02/03/2009;Processo Seletivo: Vestibular;Não se aplica;2009;1° Semestre;Formado;18/04/2013;18/04/2013
690;18/05/1991;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1452BI;2010-2;02/03/2009;Processo Seletivo: PAIES;Não se aplica;2009;1° Semestre;Desistente Oficial;13/12/2012;
691;14/08/1993;Solteiro(a);F;;Branca;Ituiutaba;1452BI;2012-1;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;2° Semestre;Formado;18/01/2018;18/01/2018
692;26/08/1984;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1452BI;2010-2;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Transferência Interna;03/06/2013;
693;04/06/1990;Solteiro(a);M;Não possui deficiência;Não declarada;Ituiutaba;1452BI;2010-2;24/02/2010;Processo Seletivo: Transferência;Não se aplica;2010;1° Semestre;Jubilamento;03/11/2011;
694;01/03/1993;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;01/03/2010;Processo Seletivo: Vestibular;Não se aplica;2010;1° Semestre;Formado;16/05/2014;16/05/2014
695;14/09/1978;Casado(a);M;Não possui deficiência;Não declarada;Ituiutaba;115728BN;2009-1;01/03/2010;Processo Seletivo: Vestibular;Não se aplica;2010;1° Semestre;Desistente Oficial;31/01/2012;
696;14/07/1989;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Desistente Oficial;09/02/2012;
697;23/11/1991;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Desistente Oficial;15/09/2014;
698;24/04/1990;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;10/08/2009;Processo Seletivo: Vestibular;Não se aplica;2009;2° Semestre;Abandono;12/06/2012;
699;09/05/1992;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1452BI;2010-2;21/02/2011;Processo Seletivo: Vestibular;Não se aplica;2011;1° Semestre;Desistente Oficial;18/09/2014;
700;23/10/1992;Solteiro(a);M;Não possui deficiência;Não declarada;Ituiutaba;115728BN;2009-1;21/02/2011;Processo Seletivo: Vestibular;Não se aplica;2011;1° Semestre;Formado;05/12/2016;05/12/2016
701;31/03/1994;Solteiro(a);F;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;27/02/2012;Processo Seletivo: PAAES;Não se aplica;2012;1° Semestre;Desistente Oficial;17/02/2014;
702;06/01/1991;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;09/08/2010;Processo Seletivo: Vestibular;Não se aplica;2010;2° Semestre;Formado;21/08/2017;21/08/2017
703;14/07/1989;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;27/02/2012;Processo Seletivo: SISU;Não se aplica;2012;1° Semestre;Desistente Oficial;18/04/2013;
704;14/09/1978;Casado(a);M;Não possui deficiência;Não declarada;Ituiutaba;115728BN;2009-1;27/02/2012;Processo Seletivo: SISU;Não se aplica;2012;1° Semestre;Jubilamento;27/03/2014;
705;04/02/1994;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;27/02/2012;Processo Seletivo: PAAES;Não se aplica;2012;1° Semestre;Desistente Oficial;15/01/2014;
706;19/08/1986;Solteiro(a);M;Não possui deficiência;Não declarada;Ituiutaba;115728BN;2009-1;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;2° Semestre;Abandono;13/02/2015;
707;07/05/1960;Solteiro(a);F;Não possui deficiência;Branca;Ituiutaba;1452BI;2012-1;27/02/2012;Processo Seletivo: Port. Dipl. Curso Sup;Não se aplica;2012;1° Semestre;Desistente Oficial;19/11/2012;
708;19/05/1990;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1452BI;2012-1;08/08/2011;Processo Seletivo: Transferência Interna;Não se aplica;2011;2° Semestre;Formado;17/12/2016;17/12/2016
709;12/04/1988;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;08/08/2011;Processo Seletivo: Vestibular;Não se aplica;2011;2° Semestre;Formado;03/08/2017;03/08/2017
710;10/03/1995;Solteiro(a);M;Não possui deficiência;Parda;Ituiutaba;115728BN;2016-1;20/05/2013;Processo Seletivo: SISU;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2013;1° Semestre;Formado;06/03/2018;06/03/2018
711;22/04/1995;Solteiro(a);F;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;26/11/2012;Processo Seletivo: Vestibular;Não se aplica;2012;2° Semestre;Desistente Oficial;;
712;18/05/1991;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2016-1;19/12/2012;Processo Seletivo: Vestibular;Não se aplica;2012;2° Semestre;Abandono;;
713;28/08/1993;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1137717BI;2011-1;27/02/2012;Processo Seletivo: PAAES;Não se aplica;2012;1° Semestre;Transferência Interna;22/09/2014;
714;24/11/1995;Solteiro(a);F;Não possui deficiência;Branca;Ituiutaba;1452BI;2012-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2013;2° Semestre;Formado;22/12/2017;22/12/2017
715;18/10/1993;Solteiro(a);M;Não possui deficiência;Preta/Negra;Ituiutaba;1452BI;2012-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 1 - Escola Pública/Pretos/Pardos/Indígenas/até 1,5 Salário Mínimo;2013;2° Semestre;Jubilamento;29/11/2021;
716;16/04/1995;Solteiro(a);M;Deficiência Física (Membros com Def. Cong. ou Ad.);Branca;Ituiutaba;1452BI;2012-1;30/09/2013;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2013;2° Semestre;Formado;20/08/2022;20/08/2022
717;09/02/1995;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2009-1;20/05/2013;Processo Seletivo: SISU;Modalidade 5 - Ampla Concorrência;2013;1° Semestre;Desistente Oficial;18/06/2015;
718;26/08/1984;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2016-1;20/05/2013;Processo Seletivo: Transferência Interna;Não se aplica;2013;1° Semestre;Formado;18/01/2019;18/01/2019
719;07/11/1995;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2016-1;20/05/2013;Processo Seletivo: PAAES;Não se aplica;2013;1° Semestre;Formado;19/12/2019;19/12/2019
720;05/10/1995;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;1452BI;2012-1;20/05/2013;Processo Seletivo: PAAES;Não se aplica;2013;1° Semestre;Jubilamento;29/11/2021;
721;23/11/1991;Solteiro(a);M;Não possui deficiência;Branca;Ituiutaba;115728BN;2016-1;19/09/2014;Processo Seletivo: Vestibular;Modalidade 5 - Ampla Concorrência;2014;2° Semestre;Aluno com Vínculo;;
